Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2015;ProcentvisPrisaendring_SidenDecember2015;NominelPrisaendring_SidenDecember2017;ProcentvisPrisaendring_SidenDecember2017;Bemaerkninger
Vorupør Kraftvarmeværk AMBA;7700;485;12300;15454;1.608;11,61%;3.400;28,20%;
Vrå Varmeværk;9760;644;12719;16089;1.471;10,06%;7.127;79,50%;
Værløse Varmeværk;3500;303;10362;12503;60;0,49%;-138;-1,10%;
Værum-Ørum Kraftvarmeværk A.m.b.a.;8870;500;9031;10885;1.210;12,51%;1.210;12,50%;
Ærøskøbing Fjernvarme;5970;463;12313;13746;-815;-5,59%;0;0%;
Ø. Brønderslev Kraftvarmeværk;9700;619;12500;15862;-339;-2,09%;3.507;28,40%;
Øland Kraftvarmeværk A.m.b.a;9460;988;20438;23499;5.430;30,05%;8.371;55,30%;
Ølgod Fjernvarmeselskab Amba.;6870;405;9563;11968;815;7,30%;1.222;11,40%;
Ørnhøj Grønbjerg Kraftvarmeværk A.m.b.a.;6973;500;12375;15438;-1.697;-9,90%;-566;-3,50%;
Ørsted Fjernvarmeværk;8950;450;9006;12005;-453;-3,63%;0;0%;
Ørum Varmeværk A.m.b.a.;8830;563;11000;13706;-1.131;-7,62%;2.263;19,80%;
Østbirk Varmeværk a.m.b.a;8752;463;9219;11684;163;1,41%;163;1,40%;
Øster Hornum Varmeværk;9530;425;11719;16130;-1.358;-7,76%;0;0%;
Øster Hurup Kraftvarme;9560;500;14375;15925;3.168;24,83%;3.168;24,80%;
Øster Toreby Varmeværk Amba;4800;490;10323;13341;-128;-0,95%;0;0%;
Østerild Fjernvarmeselskab A.m.b.a. ;7700;563;14531;17994;-1.010;-5,31%;634;3,60%;
Østerlund Varme A/S;6400;550;11175;14668;-2.263;-13,36%;1.810;14,10%;
Østervrå Varmeværk;9750;438;9313;11769;-453;-3,70%;2.941;33,30%;
Aabenraa - Rødekro Fjernvarme;6200;410;7838;9796;-724;-6,88%;0;0%;
Aabybro Fjernvarmeværk;9440;450;9531;11958;329;2,83%;328;2,80%;
Ådum Kraftvarmeværk;6880;555;15075;16796;0;0,00%;0;0%;
Aalborg Bygas A/S;9000;705;12294;14479;487;3,48%;456;3,20%;
Aalborg Varme A/S**;9000;461;9666;12195;2.271;22,89%;498;4,30%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
Aalestrup-Nørager Energi A.m.b.a.**;9620;413;8334;10748;-2.132;-16,55%;-767;-6,70%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
Aarhus, AffaldVarme Aarhus (distribution) ;8210;580;10444;12861;-316;-2,40%;165;1,30%;
Aars Fjernvarmeforsyning Amba;9600;331;7063;8846;-2.436;-21,59%;-389;-4,20%;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
