fv_net_navn,vaerk_postnr,vaerk_postdistrikt,aar,fv_net,vaerk_kommune,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
0,9000.0,Aalborg,2006,0.0,851.0,317.6,1.37,295.74,169.01731008,125.42374000000001,29.988940000000003,16.3836936,11.1744936,0.0,0.0,0.0,4.11262488,0.0,0.0,120.023838,0.0,44.8808472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2007,0.0,851.0,317.6,1.37,295.74,149.72799218,138.1679,34.24076,15.9360444,11.1912444,0.0,0.0,0.0,4.37446128,0.0,0.0,101.0271557,0.0,44.3263752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2008,0.0,851.0,317.6,1.37,295.74,299.58164276,259.19304,152.44584,15.5552688,10.8752688,0.0,0.0,0.0,9.85007016,0.0,0.0,249.8941958,0.0,39.8373768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2009,0.0,851.0,317.6,1.37,290.34,145.40831208,112.62480000000001,21.8868,15.7855644,11.1523644,0.0,0.0,0.0,4.19870808,0.0,0.0,96.6198816,0.0,44.5897224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2010,0.0,851.0,317.6,1.37,290.34,165.2344513,129.47509,45.07309,16.5443796,12.3971796,0.0,0.0,0.0,1.88307,0.0,0.0,113.67195480000001,0.0,49.6794265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2011,0.0,851.0,317.6,1.37,290.34,292.0422336,251.47917999999999,154.03037999999998,18.6952176,13.1121396,0.0,0.0,0.0,4.7955516,0.0,0.0,242.73703799999998,0.0,44.509644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2012,0.0,851.0,317.6,1.37,290.34,179.06865,156.00719999999998,103.91199999999999,11.9929284,9.7164,0.0,0.0,0.0,6.947631599999999,0.0,0.0,132.47517240000002,0.0,39.645846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9220.0,Aalborg Øst,2008,0.0,851.0,469.09999999999997,26.9,265.7,3487.3439015999998,2852.227,2825.28,481.5688788,415.4656788,0.0,0.0,0.0,9.128406,0.0,0.0,44.5395456,1937.9198,0.0,0.0,0.0,0.0,0.0,0.08575,1432.35,0.0,0.0,63.3204,0.0
0,9220.0,Aalborg Øst,2009,0.0,851.0,469.09999999999997,26.9,265.7,3106.58083896,2489.6839999999997,2462.874,475.944336,408.714336,0.0,0.0,0.0,6.21305496,0.0,0.0,3.555684,1898.97,0.0,0.0,0.0,0.0,0.0,0.0343,1139.729,0.0,0.0,58.0788,0.0
0,9220.0,Aalborg Øst,2010,0.0,851.0,469.09999999999997,26.9,265.7,2915.7160576,2362.938,2333.946,301.2139728,258.02477280000005,0.0,0.0,0.0,5.642036399999999,0.0,0.0,1.7373312,1663.8208,0.0,0.0,0.0,0.0,0.0,26.62709,1177.342,0.0,0.0,40.5468,0.0
0,9220.0,Aalborg Øst,2011,0.0,851.0,469.09999999999997,26.9,265.7,3232.9327774,2612.0476,2590.9925999999996,492.88896,423.30816,0.0,0.0,0.0,2.3690814,0.0,0.0,55.8776196,1913.49,0.0,0.0,0.0,0.0,0.0,12.334876399999999,1204.502,0.0,0.0,44.3592,0.0
0,5560.0,Aarup,2000,0.0,420.0,0.0,0.11,0.20500000000000002,2.279,1.2777191999999635,0.0,0.6978599999999999,0.69426,0.0,0.0,0.0,0.0,0.0,0.0,2.0878,0.0,0.0,0.0,0.0,0.0,0.0,0.1912,0.0,0.0,0.0,0.0,0.0
0,5560.0,Aarup,2001,0.0,420.0,0.0,0.11,0.20500000000000002,2.8932938000000004,1.569,0.0,0.8658792,0.8658792,0.0,0.0,0.0,0.0,0.0,0.0,2.0242938,0.0,0.0,0.0,0.0,0.0,0.0,0.869,0.0,0.0,0.0,0.0,0.0
0,5560.0,Aarup,2002,0.0,420.0,0.0,0.11,0.20500000000000002,1.9316554400000001,1.097,0.0,0.58428,0.58428,0.0,0.0,0.0,0.0,0.0,0.0,1.79965544,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0
0,5560.0,Aarup,2003,0.0,420.0,0.0,0.11,0.20500000000000002,1.6361532,0.8878428,0.0,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6361532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5560.0,Aarup,2004,0.0,420.0,0.0,0.09,0.17,1.662012,0.905,0.905,0.5076,0.5076,0.0,0.0,0.0,0.0,0.0,0.0,1.662012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5560.0,Aarup,2005,0.0,420.0,0.0,0.09,0.17,1.1387376,0.63,0.0,0.3380472,0.3380472,0.0,0.0,0.0,0.0,0.0,0.0,1.1387376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5560.0,Aarup,2006,0.0,420.0,0.0,0.09,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5560.0,Aarup,2007,0.0,420.0,0.0,0.09,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5560.0,Aarup,2008,0.0,420.0,0.0,0.09,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6534.0,Agerskov,2010,0.0,550.0,0.0,0.015,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6534.0,Agerskov,2011,0.0,550.0,0.0,0.015,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6534.0,Agerskov,2012,0.0,550.0,0.0,0.015,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6534.0,Agerskov,2013,0.0,550.0,0.05,0.015,0.0306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6534.0,Agerskov,2014,0.0,550.0,0.05,0.015,0.0306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6534.0,Agerskov,2015,0.0,550.0,0.05,0.015,0.0306,0.8838,0.5904,0.0,0.269604,0.269604,0.0,0.0,0.0,0.0,0.0,0.0,0.8838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
