vaerk_id,vrkanl_ny,vaerk_navn,aar,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,fv_net_navn,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
11,11-4,Allingåbro Varmeværk,2021,8961,Allingåbro,707,219,Allingåbro Fjernvarme,11,18027410,ALLINGÅBRO VARMEVÆRK A M B A,0.0,FJ,Fjernvarmeværk,Flis-kedel,Kedel,353000.0,350030.0,fvv,2002-10-01,00:00:00,4.985,0.0,6.0,55.095711,65.245608,65.245608,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.09571100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11-3,Allingåbro Varmeværk,2021,8961,Allingåbro,707,219,Allingåbro Fjernvarme,11,18027410,ALLINGÅBRO VARMEVÆRK A M B A,0.0,FJ,Fjernvarmeværk,Oliekedel (ny),Kedel,353000.0,350030.0,fvv,2007-07-01,00:00:00,5.5,0.0,5.5,0.697291,0.5587920000000001,0.5587920000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.697291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12-1,"Als Fjernvarme, Rørsangervej 3",2021,9560,Hadsund,846,292,Als Fjernvarme,12,11304028,ALS FJERNVARME AMBA,0.0,FJ,Fjernvarmeværk,Oliecentral,Kedel,353000.0,350030.0,fvv,1965-01-01,00:00:00,5.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13-2,"Als Fjernvarme, Rørsangervej 26",2021,9560,Hadsund,846,292,Als Fjernvarme,12,11304028,ALS FJERNVARME AMBA,0.0,FJ,Fjernvarmeværk,Solvarme 6000m2,Solvarme,353000.0,350030.0,fvv,2016-04-01,00:00:00,4.0,0.0,4.0,9.1044,9.1044,9.1044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1044,0.0,0.0,0.0
13,13-1,"Als Fjernvarme, Rørsangervej 26",2021,9560,Hadsund,846,292,Als Fjernvarme,12,11304028,ALS FJERNVARME AMBA,0.0,FJ,Fjernvarmeværk,Halm central,Kedel,353000.0,350030.0,fvv,2003-10-01,00:00:00,3.5,0.0,3.15,39.092,37.2888,37.2888,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.893,0.0,21.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15-4,Flauenskjold Varmeværk A.m.b.a,2021,9330,Dronninglund,810,283,Flauenskjold Fjernvarme,14,20023317,Flauenskjold Varmeværk A.m.b.a,0.0,DC,Decentralt værk,Solvarme 2 - 1000 m2,Solvarme,353000.0,350030.0,fvv,2020-07-01,00:00:00,0.7,0.0,0.7,1.4796,1.4796,1.4796,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4796,0.0,0.0,0.0
15,15-2,Flauenskjold Varmeværk A.m.b.a,2021,9330,Dronninglund,810,283,Flauenskjold Fjernvarme,14,20023317,Flauenskjold Varmeværk A.m.b.a,0.0,DC,Decentralt værk,Kedel pro.,Kedel,353000.0,350030.0,fvv,2012-01-01,00:00:00,3.36,0.0,2.91,13.8948084,13.4604,13.3416,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8948084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15-3,Flauenskjold Varmeværk A.m.b.a,2021,9330,Dronninglund,810,283,Flauenskjold Fjernvarme,14,20023317,Flauenskjold Varmeværk A.m.b.a,0.0,DC,Decentralt værk,Solvarmeanlæg - 2963m2,Solvarme,353000.0,350030.0,fvv,2014-04-01,00:00:00,2.1,0.0,2.1,4.446,4.446,4.446,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.446,0.0,0.0,0.0
15,15-1,Flauenskjold Varmeværk A.m.b.a,2021,9330,Dronninglund,810,283,Flauenskjold Fjernvarme,14,20023317,Flauenskjold Varmeværk A.m.b.a,0.0,DC,Decentralt værk,Kraftvarme pro.,Forbrændingsmotor,353000.0,350030.0,kvt,1993-01-01,00:00:00,1.85,0.73,0.96,6.3725904,3.5532,3.5532,2.3508,2.3508,0.2787877281,0.7212122719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.372590400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16-3,Teglværksvej 10,2021,5620,Glamsbjerg,420,77,Glamsbjerg-Haarby Fjernvarme,15,25387910,Glamsbjerg-Haarby Varmeværk a.m.b.a.,0.0,DC,Decentralt værk,Kedel 2,Kedel,353000.0,350030.0,fvv,1994-07-01,00:00:00,3.9,0.0,3.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16-2,Teglværksvej 10,2021,5620,Glamsbjerg,420,77,Glamsbjerg-Haarby Fjernvarme,15,25387910,Glamsbjerg-Haarby Varmeværk a.m.b.a.,0.0,DC,Decentralt værk,Kedel 1,Kedel,353000.0,350030.0,fvv,1985-01-01,00:00:00,4.7,0.0,4.7,9.9641124,10.01124,10.01124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9641124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16-1,Teglværksvej 10,2021,5620,Glamsbjerg,420,77,Glamsbjerg-Haarby Fjernvarme,15,25387910,Glamsbjerg-Haarby Varmeværk a.m.b.a.,0.0,DC,Decentralt værk,Kraftvarme,Forbrændingsmotor,353000.0,350030.0,kvt,1994-07-01,00:00:00,7.9,3.7,4.2,6.9344352,3.19572,3.19572,2.61648,2.5638948,0.2304239572,0.7695760428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.934435200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17-3,"Ikast El- og Varmeværk, Marsvej 4",2021,7430,Ikast,756,163,Herning-Ikast Fjernvarme,16,25161513,Energi Ikast Varme A/S,1.0,FJ,Fjernvarmeværk,Kedel 3,Kedel,351100.0,350010.0,fvv,1997-12-01,00:00:00,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
