vaerk_id,forsyid,vrkanl_ny,vaerk_navn,aar,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,fv_net_navn,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
1623,18676710,1623-1,Baunsgaard Biogas,2021,7860,Spøttrup,779,0,0,2358,37389439,Baunsgaard  Agro ApS,0.0,ER,Erhvervsværk,-,Forbrændingsmotor,14620.0,10000.0,pev,2002-12-02,00:00:00,1.2,0.47,0.6,16.6658,8.499600000000001,0.0,5.6664,5.6664,0.0,0.7449987399,0.2550012601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1623,18676710,1623-1,Baunsgaard Biogas,2022,7860,Spøttrup,779,0,0,2358,37389439,Baunsgaard  Agro ApS,0.0,ER,Erhvervsværk,-,Forbrændingsmotor,14620.0,10000.0,pev,2002-12-02,00:00:00,1.2,0.47,0.6,8.77749,4.4766,0.0,2.9844,2.9844,0.0,0.7449954372,0.2550045628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1623,18676710,1623-1,Baunsgaard Biogas,2023,7860,Spøttrup,779,0,0,2358,37389439,Baunsgaard  Agro ApS,,ER,Erhvervsværk,-,Forbrændingsmotor,14620.0,10000.0,pev,2002-12-02,00:00:00,1.2,0.47,0.6,13.595392,6.9336,0.0,4.622400000000001,4.622400000000001,0.0,0.7450018359,0.2549981641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.595392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1872,39678810,1872-1,Bindslev Elværk,2021,9881,Bindslev,860,0,0,2383,81830819,BINDSLEV GAMLE EL-VÆRK,0.0,VA,Vandkraftværk,Vandkraftanlæg,Vandkraft,351100.0,350010.0,vkt,2003-12-22,00:00:00,0.09,0.09,0.0,1.0404,0.0,0.0,1.0404,1.0404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0404,0.0,0.0
1872,39678810,1872-1,Bindslev Elværk,2022,9881,Bindslev,860,0,0,2383,81830819,BINDSLEV GAMLE EL-VÆRK,0.0,VA,Vandkraftværk,Vandkraftanlæg,Vandkraft,351100.0,350010.0,vkt,2003-12-22,00:00:00,0.09,0.09,0.0,1.026,0.0,0.0,1.026,1.026,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.026,0.0,0.0
1872,39678810,1872-1,Bindslev Elværk,2023,9881,Bindslev,860,0,0,2383,81830819,BINDSLEV GAMLE EL-VÆRK,,VA,Vandkraftværk,Vandkraftanlæg,Vandkraft,351100.0,350010.0,vkt,2003-12-22,00:00:00,0.09,0.09,0.0,0.5076,0.0,0.0,0.5076,0.5076,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076,0.0,0.0
2047,,2047-1,Bio Vækst A/S,2021,4532,Gislinge,316,0,0,2081,26661684,BIO VÆKST A/S,0.0,LO,Lokalt værk,Gasmotor,Forbrændingsmotor,382110.0,383900.0,pev,2010-01-20,00:00:00,0.49,0.19,0.22,2.756205,0.0,0.0,0.882,0.882,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.756205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,,2047-1,Bio Vækst A/S,2022,4532,Gislinge,316,0,0,2081,26661684,BIO VÆKST A/S,0.0,LO,Lokalt værk,Gasmotor,Forbrændingsmotor,382110.0,383900.0,pev,2010-01-20,00:00:00,0.49,0.19,0.22,1.732291,0.0,0.0,0.5544,0.5544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,,2047-1,Bio Vækst A/S,2023,4532,Gislinge,316,0,0,2081,26661684,BIO VÆKST A/S,,LO,Lokalt værk,Gasmotor,Forbrændingsmotor,382110.0,383900.0,pev,2010-01-20,00:00:00,0.49,0.19,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1151,00000015,1151-1,Biogasanlæg Højer,2021,6280,Højer,550,0,0,2074,32065791,TØNDER DEPONI A/S,0.0,LO,Lokalt værk,Højer losseplads,Forbrændingsmotor,382110.0,383900.0,pev,1993-01-01,00:00:00,0.64,0.16,0.3,0.337709,0.0,0.0,0.108,0.108,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
