vaerk_id,aar,fv_net_navn,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,vrkanl_ny,vaerk_kommune,fv_net,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
169,2021,Haderslev Fjernvarme,Haderslev Fjernvarme Posthussvinget 1,6100,Haderslev,169-4,510,103,176,58061212,Haderslev Fjernvarme,1.0,FJ,Fjernvarmeværk,Kedel 4,Kedel,353000.0,350030.0,fvv,1965-01-01,00:00:00,11.7,0.0,11.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,2022,Haderslev Fjernvarme,Haderslev Fjernvarme Posthussvinget 1,6100,Haderslev,169-4,510,103,176,58061212,Haderslev Fjernvarme,1.0,FJ,Fjernvarmeværk,Kedel 4,Kedel,353000.0,350030.0,fvv,1965-01-01,00:00:00,11.7,0.0,11.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,2023,Haderslev Fjernvarme,Haderslev Fjernvarme Posthussvinget 1,6100,Haderslev,169-4,510,103,176,58061212,Haderslev Fjernvarme,1.0,FJ,Fjernvarmeværk,Kedel 4,Kedel,353000.0,350030.0,fvv,1965-01-01,00:00:00,11.7,0.0,11.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
989,2022,Hadsten Fjernvarme,Hadsten Varmeværk Hovvej,8370,Hadsten,989-1,710,203,178,67750411,HADSTEN VARMEVÆRK A M B A,0.0,FJ,Fjernvarmeværk,K1,Kedel,353000.0,350030.0,fvv,2019-11-01,00:00:00,6.7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,2021,Borup Fjernvarme,Halmvarmeværket Borup,4140,Borup,178-1,259,23,61,14898018,BORUP VARMEVÆRK A M B A,0.0,FJ,Fjernvarmeværk,Linka,Kedel,353000.0,350030.0,fvv,2006-08-07,00:00:00,7.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2021,Frederiksværk Fjernvarme,Halsnæs Forsyning A/S (Sportsvej),3300,Frederiksværk,126-2,260,13,2088,33033575,HALSNÆS VARME A/S,0.0,FJ,Fjernvarmeværk,Oliekedel 2,Kedel,353000.0,350030.0,fvv,1986-01-01,00:00:00,2.9,0.0,2.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2022,Frederiksværk Fjernvarme,Halsnæs Forsyning A/S (Sportsvej),3300,Frederiksværk,126-2,260,13,2088,33033575,HALSNÆS VARME A/S,0.0,FJ,Fjernvarmeværk,Oliekedel 2,Kedel,353000.0,350030.0,fvv,1986-01-01,00:00:00,2.9,0.0,2.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2023,Frederiksværk Fjernvarme,Halsnæs Forsyning A/S (Sportsvej),3300,Frederiksværk,126-2,260,13,2088,33033575,HALSNÆS VARME A/S,,FJ,Fjernvarmeværk,Oliekedel 2,Kedel,353000.0,350030.0,fvv,1986-01-01,00:00:00,2.9,0.0,2.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,2021,Hammel Fjernvarme,Hammel Fjernvarme Amba,8450,Hammel,183-1,710,204,184,42272612,HAMMEL FJERNVARME A M B A,0.0,FJ,Fjernvarmeværk,Godhåbsvejcentralen,Kedel,353000.0,350030.0,fvv,1957-09-01,00:00:00,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067,2021,Hanstholm Fjernvarme,Hanstholm Kraftvarme,7730,Hanstholm,1067-1,787,234,186,23011514,HANSTHOLM VARMEVÆRK A M B A,0.0,DC,Decentralt værk,QHH,Forbrændingsmotor,353000.0,350030.0,kvt,1994-01-01,00:00:00,14.55,5.2,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
