PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2015;ProcentvisPrisaendring_SidenDecember2015;NominelPrisaendring_SidenDecember2017;ProcentvisPrisaendring_SidenDecember2017;Bemaerkninger
1017780383;RINGSTED FJERNVARME A/S;4100;458;9152;11765;83;0,71%;83;0,70%;
1007719341;Rise Fjernvarme Amba;5970;890;20725;23484;0;0,00%;0;0%;
1015965963;Roskilde Varme A/S;4000;531;10275;13385;653;5,13%;486;3,80%;
1001806990;Roslev Fjernvarmeselskab Amba;7870;469;11188;13947;-2;-14,01%;0;0%;
1001391111;Rostrup Kraftvarmeværk A.m.b.a. ;9550;500;15500;17050;1;7,06%;3;24,80%;
1001930294;Rundhøj Fjernvarme  A.m.b.a. ;8270;535;9925;12934;2;19,22%;1;9,20%;
1001553645;Ry Varmeværk Am.b.a. ;8680;326;7956;10480;-2;-13,47%;-1;-10,30%;
1003568649;Rye Kraftvarmeværk A.m.b.a.;8680;406;14375;19416;46;0,24%;2;13,50%;
0;Ryomgaard Fjernvarmeværk;8550;678;13954;17138;0;0,00%;0;0%;
1001082841;Ræhr Fjernvarme Amba;7730;400;9125;10365;-4;-25,94%;-2;-18,30%;
1001573462;Rødby Varmeværk Amba;4970;375;9219;12100;0;0,00%;0;0%;
1001159796;Rødbyhavn Fjernvarme Amba;4970;408;8631;10771;-869;-7,47%;365;3,50%;
1002243368;Rødding Varmecentral ;6630;488;9625;12374;1;8,97%;905;7,90%;
1001454760;Rødkærsbro Fjernvarmeværk;8840;600;13625;17004;746;4,59%;3;20,20%;
1011930936;Rødovre kommunes Varmeforsyning;2610;469;10313;13622;-2;-11,65%;158;1,20%;
1002824928;Rønde Fjernvarmeværk;8410;436;8888;11409;-1;-9,19%;0;0%;
1016095709;Rønne Varme A/S;3700;477;11293;13472;-2;-13,29%;0;0%;
1002997847;Sakskøbing Fjernvarmeselskab Amba;4990;540;10167;13009;-170;-1,29%;283;2,20%;
1001529390;Saltum Fjernvarmeværk Amba;9493;570;11988;15817;158;1,01%;3;20,10%;
1004149664;Sandved-Tornemark Kraftvarmeværk Amba;4262;575;14297;17614;-2;-9,08%;165;0,90%;
1001577420;Sdr. Felding Varmeværk;7280;375;8281;10475;0;0,00%;0;0%;
1001193577;Sdr. Herreds Kraftvarmeværker Amba;7960;536;13844;15506;-434;-2,72%;1;9,60%;
1001577420;Sdr. Omme Varmeværk Amba.;7260;410;11080;14966;-1;-8,26%;-410;-2,70%;
1001503654;Sig Varmeværk;6800;613;14313;16211;-2;-12,25%;2;12,00%;
1014963991;Silkeborg Varme A/S;8600;475;9600;12118;679;5,93%;679;5,90%;
1002097944;Sindal Varmeforsyning Amba;9870;450;9281;11583;-2;-14,95%;2;16,40%;
1010782917;SK Forsyning (Slagelse og Korsør);4200;463;9984;12708;-566;-4,26%;0;0%;
1018054791;Skagen Varmeværk Amba;9990;338;8288;10599;-679;-6,02%;-679;-6,00%;
1000210678;Skals Kraftvarmeværk Amba;8832;450;9750;12520;-1;-10,37%;0;0%;
1001761239;Skanderborg-Hørning Fjernvarme Amba;8660;425;8500;10643;-2;-15,15%;-272;-2,50%;
1003169877;Skive Fjernvarme Amba;7800;465;9663;12617;-2;-14,16%;0;0%;
1003086479;Skjern Fjernvarmecentral A.m.b.a. ;6900;463;8625;11059;-641;-5,48%;-641;-5,50%;
1000746895;Skovlund Kraftvarme;6823;500;10875;13525;-2;-10,02%;0;0%;
1002138988;Skovsgaard Varmeværk A.m.b.a. ;9460;563;11156;14619;-664;-4,35%;0;0%;
1003701860;Skuldelev Energiselskab Amba;4050;484;10626;12596;-7;-34,15%;0;0%;
1001669670;Skærbæk Fjernvarme A.m.b.a.;6780;444;9695;12153;588;5,08%;588;5,10%;
1003458829;Skørping Varmeværk A.m.b.a.;9520;538;10938;14104;2;19,55%;1;11,30%;
1001604427;Skårup Fjernvarme;5881;450;10406;13795;-788;-5,40%;362;2,70%;
1018666886;Slagslunde ;3660;630;13263;17278;-2;-11,56%;0;0%;
1001535455;Smørum Kraftvarme;2765;542;11254;14536;-2;-10,00%;0;0%;
1001986520;Snedsted Varmeværk;7752;419;10219;13892;-100;-0,71%;-100;-0,70%;
0;Snertinge, Særslev, Føllenslev - SSF Energiselskab ;4591;756;18669;22213;0;0,00%;0;0%;
1001556073;Solrød Fjernvarmeværk Amba;2680;550;11581;15396;-1;-6,48%;-1;-6,50%;
1023151355;Sorø Fjernvarme A/S;4520;525;8691;10918;-8;-42,71%;0;0%;
1001754646;Spjald Fjernvarme- og Vandværk;6971;438;8500;10544;-3;-24,35%;1;12,00%;
0;St. Merløse Varme A/S;4300;715;13954;18078;1;7,40%;509;2,90%;
1002046635;Stege Fjernvarme Amba;4780;498;11029;14835;0;0,00%;0;0%;
0;Stenløse Syd, Lærkeskolen, Stengårdsskolen, Toftehøjskolen;3660;488;11000;14849;2;17,30%;-163;-1,10%;
1002186897;Stenstrup Fjernvarme Amba;5771;445;9438;11835;0;0,00%;2;18,10%;
1002279681;Stoholm Fjernvarmeværk  Amba;7850;438;9844;12231;-5;-27,13%;0;0%;
0;Stokkemarke Fjernvarme;4952;500;13179;17756;54;0,30%;-84;-0,50%;
1001828049;Strandby Varmeværk A.m.b.A.;9970;625;12281;15800;2;11,95%;3;27,40%;
1008632274;Struer Forsyning Fjernvarme A/S;7600;415;7844;9694;-1;-13,35%;-181;-1,80%;
1001070704;Støvring Kraftvarmeværk Amba;9530;413;8875;11610;214;1,88%;679;6,20%;
1001815057;Sunds Vand og Varmeværk;7451;475;9438;12010;-2;-14,13%;-2;-14,10%;
1000921589;Svebølle-Viskinge Fjernvarmeselskab Amba;4470;786;19906;22343;-828;-3,57%;-701;-3,00%;
1003007911;Svendborg Fjernvarme Amba;5700;600;10544;13353;2;20,40%;2;20,40%;
1001944117;Svogerslev Fjernvarmecentral;4000;688;14388;16519;5;39,43%;1;8,30%;
1001272907;Sydfalster Varmeværk Amba;4873;447;10856;13995;1;8,31%;275;2,00%;
1001211691;Sydlangeland Fjernvarme A.m.b.a.;5932;555;11075;13896;1;8,19%;0;0%;
1002189756;Sæby Varmeværk Amba;9300;463;9313;11571;-1;-7,98%;2;15,90%;
1004197093;Søndbjerg Fjernvarme Amba;7790;625;14250;19613;-2;-7,47%;0;0%;
1012754848;Sønderborg Varme A/S**;6400;419;8840;11512;301;2,69%;301;2,70%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000898485;Sønderholm Varmeværk Amba;9240;469;12281;15484;375;2,48%;375;2,50%;
1001802909;Tarm Varmeværk Amba;6880;435;10030;11379;10;0,08%;-272;-2,30%;
1000949978;Terndrup Fjernvarme A.m.ba.;9575;563;12000;15669;-1;-6,73%;0;0%;
1003030685;Thisted Varmeforsyning Amba**;7700;425;8313;10593;905;9,34%;1;12,00%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000409687;Thorsager Fjernvarmeværk Amba;8410;563;12844;16306;379;2,38%;0;0%;
1003830555;Thorshøj Kraftvarmeværk Amba;9750;694;16069;19127;4;23,68%;5;32,00%;
1001235842;Thorsminde Fjernvarme A.m.b.a.;6990;438;10875;14294;29;0,20%;0;0%;
1001552789;Thorsø Fjernvarmeværk Amba;8881;325;8934;10517;-3;-22,73%;745;7,60%;
1001178258;Thyborøn Fjernvarme A.m.b.a.;7680;490;10610;14279;272;1,94%;543;4,00%;
1000758600;Tim Kraftvarmeværk Amba;6980;688;13250;16619;4;34,89%;5;45,60%;
1000146519;Tistrup Varmeværk;6862;606;13219;16473;6;60,34%;5;47,70%;
1002175112;Toftlund Fjernvarme Amba;6520;781;14219;18016;5;41,68%;9;93,30%;
1001473623;Tommerup Bys Fjernvarmeforsyning A.m.b.a.;5690;466;10166;12655;-2;-13,51%;-2;-11,00%;
1002487500;Tommerup St. Varmeforsyning A.m.b.a.;5690;513;10313;13826;-2;-14,06%;0;0%;
1001698824;Tranbjerg Varmeværk Amba;8310;625;11048;13431;-506;-3,63%;825;6,50%;
1001940135;Tranum Kraftvarmeværk;9460;563;11513;13856;-1;-7,55%;0;0%;
0;TRE-FOR Varme, Kolding A/S;6000;613;12000;13899;-158;-1,13%;928;7,20%;
1001762685;Troldhede Kraftvarmeværk A.m.b.a.;6920;563;10469;13244;4;42,65%;1;9,30%;
1004131281;Trustrup-Lyngby Varmeværk Amba;8570;406;9250;12091;-3;-21,64%;601;5,20%;
1001318826;Tversted Kraftvarmeværk A.m.b.a.;9881;494;10344;13562;-679;-4,77%;2;21,20%;
1001745454;Tønder Fjernvarmeselskab A.m.b.a.;6270;719;13563;17372;720;4,32%;3;20,30%;
1003023952;Tørring Kraftvarmeværk;7160;500;12469;17113;5;41,65%;7;68,60%;
1029482833;Tårnby Forsyning;2770;325;11003;13082;3;32,36%;0;0,00%;
0;Taars Varmeværk Amba;9830;831;16081;20643;10;90,62%;8;63,30%;
1000885821;Ulbjerg Kraftvarme Amba;8832;531;12500;15178;813;5,66%;3;25,40%;
1001109525;Uldum Varmeværk Amba;7171;525;10406;13271;0;0,00%;0;0%;
1000525111;Ulfborg Fjernvarmeværk A.m.b.a.;6990;425;9656;13205;-881;-6,26%;-78;-0,60%;
1001726931;Ulsted Varmeværk ;9370;510;11738;15969;1;7,74%;0;0%;
1001973692;Vallensbæk Fjernvarmeværk A.m.b.a.;2625;529;11059;14771;776;5,54%;-223;-1,50%;
1002041931;Vamdrup Fjernvarme I.m.b.a.;6580;594;12156;14822;2;12,93%;3;22,40%;
1019145995;Varmecentralen Ørnesædet;4622;356;8244;10078;-654;-6,09%;2;22,50%;
1003535075;Veddum Skelund Visborg Kraftvarmeværk A.m.b.a. ;9560;400;11688;12928;-3;-21,02%;0;0%;
1000830268;Vegger Varmeværk ;9240;306;5781;7574;-4;-36,78%;-2;-21,10%;
1003962006;Vejby-Tisvilde Fjernvarme A.m.b.a. ;3210;981;20344;23386;6;38,07%;6;38,10%;
1002060351;Vejen Varmeværk Amba;6600;550;10000;12530;383;3,15%;1;12,20%;
1002290506;Vejlby Fjernvarmecentral;8240;450;8250;10333;-1;-9,87%;0;0%;
1002261339;Vejle Fjernvarme a.m.b.a.;7100;494;9531;12162;-241;-1,94%;2;24,10%;
1001612351;Vemb Varmeværk;7570;500;10349;13793;-2;-10,04%;0;0%;
1001329153;Vesløs Fjernvarme Amba;7742;615;16975;18882;0;0,00%;0;0%;
1000499081;Vester Hjermitslev Varmeværk;9700;725;16500;18748;-2;-10,05%;-2;-9,30%;
1002166333;Vestervig Fjernvarme;7770;313;10156;13235;-16;-0,12%;0;0%;
1003387416;Vestforbrænding Glostrup I/S ;2600;303;9049;10919;-650;-5,62%;-1;0,00%;
1010775961;Vestforsyning Varme A/S;7500;440;7988;10369;-881;-7,83%;-383;-3,60%;
1026537661;Viborg Fjernvarme;8800;752;13533;17032;3;22,10%;4;35,60%;
1016419539;Videbæk Varme;6920;331;7056;8908;-4;-29,01%;3;58,30%;
1001758574;Vildbjerg Varmeværk A.m.b.a.;7480;415;10038;12287;773;6,71%;3;32,80%;
1001672876;Vinderup Varmeværk;7830;375;7716;9999;1;15,71%;1;15,70%;
1002323664;Vivild Varmeværk;8961;679;13856;16973;0;0,00%;0;0%;
1001184646;Voerså Kraftvarmeværk A.m.b.a.;9300;606;13469;15348;226;1,50%;2;17,30%;
1001623583;Vojens Fjernvarme;6500;595;10423;13367;1;11,30%;1;11,30%;
1013385854;Vordingborg Fjernvarme A/S;4760;617;11164;13952;331;2,43%;331;2,40%;
1001413262;Vorupør Kraftvarmeværk AMBA;7700;485;12300;15454;2;11,61%;3;28,20%;
1002195366;Vrå Varmeværk;9760;644;12719;16089;1;10,06%;7;79,50%;
1000295548;Værløse Varmeværk;3500;303;10362;12503;60;0,49%;-138;-1,10%;
1003453013;Værum-Ørum Kraftvarmeværk A.m.b.a.;8870;500;9031;10885;1;12,51%;1;12,50%;
1001572715;Ærøskøbing Fjernvarme;5970;463;12313;13746;-815;-5,59%;0;0%;
1000118658;Ø. Brønderslev Kraftvarmeværk;9700;619;12500;15862;-339;-2,09%;4;28,40%;
1001221295;Øland Kraftvarmeværk A.m.b.a;9460;988;20438;23499;5;30,05%;8;55,30%;
1003046743;Ølgod Fjernvarmeselskab Amba.;6870;405;9563;11968;815;7,30%;1;11,40%;
1000902719;Ørnhøj Grønbjerg Kraftvarmeværk A.m.b.a.;6973;500;12375;15438;-2;-9,90%;-566;-3,50%;
1001596824;Ørsted Fjernvarmeværk;8950;450;9006;12005;-453;-3,63%;0;0%;
1000459320;Ørum Varmeværk A.m.b.a.;8830;563;11000;13706;-1;-7,62%;2;19,80%;
1000946049;Østbirk Varmeværk a.m.b.a;8752;463;9219;11684;163;1,41%;163;1,40%;
1000894624;Øster Hornum Varmeværk;9530;425;11719;16130;-1;-7,76%;0;0%;
3333344444;Øster Hurup Kraftvarme;9560;500;14375;15925;3;24,83%;3;24,80%;
3333344444;Øster Toreby Varmeværk Amba;4800;490;10323;13341;-128;-0,95%;0;0%;
1000882329;Østerild Fjernvarmeselskab A.m.b.a. ;7700;563;14531;17994;-1;-5,31%;634;3,60%;
1014923752;Østerlund Varme A/S;6400;550;11175;14668;-2;-13,36%;2;14,10%;
1001521893;Østervrå Varmeværk;9750;438;9313;11769;-453;-3,70%;3;33,30%;
1001742157;Aabenraa - Rødekro Fjernvarme;6200;410;7838;9796;-724;-6,88%;0;0%;
1001358265;Aabybro Fjernvarmeværk;9440;450;9531;11958;329;2,83%;328;2,80%;
1003467062;Ådum Kraftvarmeværk;6880;555;15075;16796;0;0,00%;0;0%;
1022007439;Aalborg Bygas A/S;9000;705;12294;14479;487;3,48%;456;3,20%;
1020945857;Aalborg Varme A/S**;9000;461;9666;12195;2;22,89%;498;4,30%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000738509;Aalestrup-Nørager Energi A.m.b.a.**;9620;413;8334;10748;-2;-16,55%;-767;-6,70%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
0;Aarhus, AffaldVarme Aarhus (distribution) ;8210;580;10444;12861;-316;-2,40%;165;1,30%;
1002486097;Aars Fjernvarmeforsyning Amba;9600;331;7063;8846;-2;-21,59%;-389;-4,20%;
