PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2016;ProcentvisPrisaendring_SidenDecember2016;NominelPrisaendring_SidenJanuar2019;ProcentvisPrisaendring_SidenJanuar2019;Bemærkninger
3541053802;Egedal Fjernvarme A/S - Forsyningsområde 1 **;3660;488;10700;14329;-1495.0;-9,40%;-520.0;-3,50%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1112223334;Egedal Fjernvarme A/S - Forsyningsområde 2 **;3660;413;9575;12971;-1766.0;-12,00%;-520.0;-3,90%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000827232;Egtved Varmeværk;6040;669;12813;16467;792.0;5,10%;-543.0;-3,20%;
1003021791;Ejerf Mølleåparken v/adv Lone Refshammer ***;1153;0;14339;0;;;;;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
1001365764;Ejsing Fjernvarmeforsyning A.m.b.a.;7830;800;17250;20480;1131.0;5,80%;1131.0;5,80%;
1001347598;Ejstrupholm Varmeværk;7361;569;13031;14794;3507.0;31,10%;-453.0;-3,00%;
1003594076;Ellehavegaard Energy I/S ***;4800;450;0;14270;-1964.0;-12,10%;-339.0;-2,30%;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
1015110437;Engesvang-Moselund Kraftvarmeværk;7430;625;11531;14500;3733.0;34,70%;0.0;0,00%;
1003276017;Engholm Varmecentral**;3450;600;10617;13660;35.0;0,30%;34.0;0,30%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1010775228;Eniig Varme A/S;7400;488;9404;11760;-3317.0;-22,00%;2299.0;24,30%;
1002004427;Farsø Fjernvarmeværk;9640;425;9406;11755;0.0;0,00%;0.0;0,00%;
1002899982;Farum Fjernvarme;3520;619;10968;14854;3590.0;31,90%;1019.0;7,40%;
1002329388;Faxe Fjernvarmeselskab;4640;443;8921;11961;247.0;2,10%;328.0;2,80%;
1003191352;FD Hvidovre;2650;382;11800;14073;815.0;6,10%;589.0;4,40%;
1001381379;Feldborg Kraftvarmeværk A.m.b.a.;7540;824;14981;18497;8688.0;88,60%;3778.0;25,70%;
1001795913;Fensmark Fjernvarmeværk;4684;450;9550;12678;1240.0;10,80%;-904.0;-6,70%;
1003311702;FFV Varme A/S ;5600;713;12594;15834;3245.0;25,80%;0.0;0,00%;
1001067947;Filskov Energiselskab;7200;250;7188;8650;0.0;0,00%;0.0;0,00%;
1003161700;Fjernvarme Horsens A.m.b.a;8700;495;9809;12630;-369.0;-2,80%;129.0;1,00%;
1001871680;Fjerritslev Fjernvarme;9690;428;9334;12344;-100.0;-0,80%;194.0;1,60%;
1001519542;Flauenskjold Varmeværk A.m.b.a;9330;625;12031;15000;2828.0;23,20%;2828.0;23,20%;
1015965963;FORS Varme Holbæk Jyderup A/S;4300;711;13235;16868;0.0;0,00%;0.0;0,00%;
1003045929;Fredericia Fjernvarme;7000;297;6955;9251;-472.0;-4,90%;-163.0;-1,70%;
1001501791;Frederiks Varmeværk;7470;438;10156;13231;1131.0;9,30%;0.0;0,00%;
1010272870;Frederiksberg Fjernvarme A/S;2000;601;10748;13883;2567.0;22,70%;176.0;1,30%;
1012874908;Frederikshavn Varme A/S;9900;555;10981;14008;1629.0;13,20%;0.0;0,00%;
1003817999;Frifelt-Roager Kraftvarme AMBA;6780;700;17000;20170;-453.0;-2,20%;0.0;0,00%;
1000881784;Frøstrup Fjernvameværk;7741;523;13372;16574;493.0;3,10%;243.0;1,50%;
1008759150;Fuglebjerg Fjernvarme;4250;481;10625;14248;-453.0;-3,10%;0.0;0,00%;
1003452650;Fur Kraftvarmeværk A.m.b.a.;7884;535;12775;14434;-1879.0;-11,50%;1134.0;8,50%;
1003315472;Fyn, Fjernvarme Fyn A/S**;5230;493;8650;10864;249.0;2,30%;407.0;3,90%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1001843381;Galten Varmeværk;8464;356;8360;10089;339.0;3,50%;226.0;2,30%;
1002492813;Gartneres Varmeforsyning i Belling - Fangel ApS;5250;415;7415;8880;-150.0;-1,70%;233.0;2,70%;
1002492813;Gartneres Varmeforsyning i Åsum og Langeskov ApS;5250;413;7369;8825;-203.0;-2,20%;86.0;1,00%;
1002630107;Gartnernes Fjernvarmeforsyning i Odense Nord ApS;5250;417;7720;9249;420.0;4,80%;65.0;0,70%;
1001349413;Gassum-Hvidsten Kraftvarmeværk;8981;456;12125;14796;4191.0;39,50%;-2071.0;-12,30%;
