PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring36Mdr;ProcentvisPrisaendring36Mdr;NominelPrisaendring12Mdr;ProcentvisPrisaendring12Mdr;Bemaerkninger
1015110437;Engesvang-Moselund Kraftvarmeværk;7430;619;12.031;15.324;824;6%;1.131;7,97%;
1003276017;Engholm Varmecentral;3450;600;10.617;13.660;0;0%;0;0,00%;
1002004427;Farsø Varmeværk A M B A;9640;425;9.406;11.755;0;0%;0;0,00%;
1002899982;FARUM FJERNVARME A M B A;3520;613;11.571;14.741;906;7%;1.111;8,15%;
1002329388;Faxe Fjernvarmeselskab;4640;393;7.950;10.679;-954;-8%;-1.208;-10,16%;
1003191352;FD Hvidovre  v/EBO Consult A/S;2650;380;11.567;13.794;310;2%;-621;-4,31%;
1001381379;FELDBORG KRAFTVARMEVÆRK A.M.B.A.;7540;801;14.644;18.090;3.371;23%;1.199;7,10%;
1001795913;FENSMARK FJERNVARMEVÆRK AMBA;4684;500;10.188;13.388;-194;-1%;1.584;13,42%;
1003311702;FFV Varme A/S;5600;500;9.406;11.988;-3.846;-24%;0;0,00%;
1001067947;Filskov Energiselskab;7200;250;7.188;8.650;0;0%;;;
1003315472;Fjernvarme Fyn Distribution A/S;5230;485;8.538;10.729;272;3%;-136;-1,25%;
1003161700;Fjernvarme Horsens A.m.b.A;8700;546;10.834;13.951;1.451;12%;1.192;9,34%;
1001871680;Fjerritslev Fjernvarme;9690;428;9.335;12.344;194;2%;-1;-0,01%;
1001519542;Flauenskjold Fjernvarme;9330;1.063;18.594;22.919;7.919;53%;6.788;42,08%;
1016112816;FORS Varme Holbæk Jyderup A/S;4300;711;13.263;16.911;43;0%;43;0,26%;
1016112662;FORS Varme Holbæk St. Merløse A/S;4300;723;14.088;18.252;175;1%;0;0,00%;
1015965963;Fors Varme Roskilde A/S;4000;478;9.967;13.046;-339;-3%;-5;-0,04%;
1015712852;Forsyning Helsingør Varme;3000;438;11.015;13.954;-1.810;-11%;-1.615;-10,38%;
1003045929;FREDERICIA FJERNVARME A.M.B.A;7000;270;6.550;8.762;-652;-7%;163;1,89%;
1001501791;FREDERIKS VARMEVÆRK A M B A;7470;375;9.688;12.913;-319;-2%;-1.131;-8,06%;
1010272870;Frederiksberg Fjernvarme A/S;2000;571;10.292;13.333;-374;-3%;105;0,79%;
1012874908;FREDERIKSHAVN VARME A/S;9900;488;9.969;12.786;-1.222;-9%;0;0,00%;
1003817999;Frifelt-Roager Kraftvarme AMBA;6780;700;17.000;20.170;0;0%;0;0,00%;
1000881784;Frøstrup Fjernvameværk A M B A;7741;371;10.988;13.719;-2.612;-16%;-1.879;-12,04%;
1008759150;FUGLEBJERG FJERNVARMEVÆRK;4250;494;10.813;14.474;226;2%;1.261;9,54%;
