name,address,latitude,longitude
Kværndrup Fjernvarme,"Bøjdenvej 22B, 5772 Kværndrup, Denmark",55.1775,10.5255
Læsø Forsyning,"Doktorvejen 2, 9940 Læsø, Denmark",57.256284,10.999404
Langå Varmeværk,"Borgergade 6, 8870 Langå, Denmark",56.391849,9.896098
Laurbjerg Kraftvarmeværk,"Hvidtjørnevej 25, 8870 Langå, Denmark",56.35745,9.921348
Lem Varmeværk,"Askevej 5, 6940 Lem St, Denmark",56.022976,8.378348
Lemvig Varmeværk,"Vestavej 2, 7620 Lemvig, Denmark",56.535315,8.302848
Lendum Kraftvarmeværk,"Tårsvej 37B, 9870 Sindal, Denmark",57.408872,10.292988
Lillerød Varmecentral,"Solvang 27, 3450 Allerød, Denmark",55.881576,12.34948
Løgstør Fjernvarmeværk,"Blekingevej 8, 9670 Løgstør, Denmark",56.959383,9.263223
Løgstrup Varmeværk,"Kølsenvej 14A, 8831 Løgstrup, Denmark",56.513313,9.340247
Løgten-Skødstrup Fjernvarme,"Bakketoften 7, 8541 Skødstrup, Denmark",56.255957,10.301506
Løgumkloster Fjernvarme,"Søndermarksvej 1, 6240 Løgumkloster, Denmark",55.052665,8.957691
Lohals Varmeforsyning,"Bræmlevænget 3, 5953 Tranekær, Denmark",54.9976,10.8438
Løjt Kirkeby Fjernvarmeselskab,"Skovbyvej 4, 6200 Aabenraa, Denmark",55.083199,9.464455
Løkken Varmeværk,"Industrivej 18, 9480 Løkken, Denmark",57.37129,9.727605
Løkkensvejens Kraftvarmeværk,"Løkkensvej 730, 9480 Løkken, Denmark",57.410064,9.812225
Lolland Forsyning,"Stavangervej 13, 4900 Nakskov, Denmark",54.82613,11.15952
Lønstrup Varmeforsyning,"Strandvejen 89, 2. sal, 9800 Hjørring, Denmark",57.472784,9.797076
Lørslev Fjernvarme,"Vænget 31, 9800 Hjørring, Denmark",57.427803,10.087587
Løsning Fjernvarme,"Fasanvej 2, 8723 Løsning, Denmark",55.804232,9.698341
Lystrup Fjernvarme,"Hovmarken 2, 8520 Lystrup, Denmark",56.233931,10.240012
Malling Varmeværk,"Dampmøllevej 1A, 8340 Malling, Denmark",56.039195,10.190868
Mariager Fjernvarmeværk,"Klostermarken 5, 9550 Mariager, Denmark",56.635733,9.971694
Maribo Varmeværk,"C. E. Christiansens Vej 40, 4930 Maribo, Denmark",54.779614,11.510476
Marstal Fjernvarme,"Jagtvej 2, 5960 Marstal, Denmark",54.854594,10.514693
Mejlby Fjernvarme,"Dyssevej 17, 8981 Spentrup, Denmark",56.517622,10.080639
Mellerup Kraftvarmeværk,"Lodsvejen 29, 8930 Randers NØ, Denmark",56.518705,10.21169
Middelfart Fjernvarme,"Skærgårdsvej 2, 5500 Middelfart, Denmark",55.498494,9.777639
Midtfyns Energi,"Østre Ringvej 43, 5750 Ringe, Denmark",55.240134,10.484118
Midtlangeland Fjernvarme,"Spodsbjergvej 147 D, 5900 Rudkøbing, Denmark",54.93554,10.736126
Møldrup Fjernvarme,"Bøgevej 1, 9632 Møldrup, Denmark",56.615677,9.498815
Mølholm Varmeværk,"Mølholm Landevej 14, 7100 Vejle, Denmark",55.690163,9.553467
Mørke Fjernvarme,"Fabriksvej 20, 8544 Mørke, Denmark",56.338992,10.384768
Mørkøv Varmeværk,"Holbækvej 236, 4440 Mørkøv, Denmark",55.650279,11.502598
Morsø Forsyning,"Strandparken 19, 7900 Nykøbing M, Denmark",56.810014,8.865308
Mosede Fjernvarmeværk,"Lundemosen 7, 2670 Greve, Denmark",55.579596,12.270508
Mou Kraftvarme,"Ny Høstemarksvej 28C, 9280 Storvorde, Denmark",57.0039,10.1013
Næstved Fjernvarme,"Maglemølle 62, 4700 Næstved, Denmark",55.221033,11.747411
Nibe Varmeværk,"Hobrovej 46, 9240 Nibe, Denmark",56.976617,9.654545
Nimtofte og Omegns Fjernvarmeforsyning,"Frederikslundvej 1, 8550 Ryomgård, Denmark",56.390979,10.508577
Nordby Fjernvarme,"Baunebjerg 44, 6720 Fanø, Denmark",55.1240752,10.2170304
Norfors,"Savsvinget 2, 2970 Hørsholm, Denmark",55.901089,12.492612
Nørre Alslev Fjernvarmeværk,"Peter L. Jensensvej 4, 4840 Nørre Alslev, Denmark",54.8978,11.8841
Nørre Nebel Fjernvarme,"Præstbølvej 9, 6830 Nørre-Nebel, Denmark",55.777908,8.311371
Nørre Snede Varmeværk,"Horsensvej 19, 8766 Nørre-Snede, Denmark",55.963785,9.396752
Nyborg Forsyning,"Gasværksvej 2, 5800 Nyborg, Denmark",55.311297,10.784
Nykøbing Mors Fjernvarmeværk,"Kjærgaardsvej 20, 7900 Nykøbing M, Denmark",56.80178,8.863183
Nykøbing S. Varmeværk,"Billesvej 8-10, 4500 Nykøbing Sjælland, Denmark",55.9246925,11.6600349
Nysted Varmeværk,"Egevænget 1, 4880 Nysted, Denmark",54.671036,11.732493
Odder Forsyningsselskab,"Skovdalsvej 8, 8300 Odder, Denmark",55.98709,10.149084
Odsherred Forsyning,"Hovedgaden 39, 4571 Grevinge, Denmark",55.799866,11.547065
Oksbøl Varmeværk,"Industrivej 10, 6840 Oksbøl, Denmark",55.622195,8.289493
Ølgod Tekniske Værker,"Industrivej 9, 6870 Ølgod, Denmark",55.811388,8.624477
Ollerup-Vester Skerninge-Ulbølle Fjernvarme,"Svendborgvej 85, 5762 Skerninge, Denmark",55.071871,10.488985
Ørnhøj-Grønbjerg Kraftvarme,"Kjærsvej 13, 6973 Ørnhøj, Denmark",56.3440901,8.3421649
Ørsted Fjernvarmeværk,"Rougsøvej 61G, 8950 Ørsted, Denmark",56.497736,10.33031
Ørum Varmeværk,"Bøgevej 5-7, 8830 Tjele, Denmark",56.4828175,9.6273436
Østbirk Varmeværk,"Industrivej 9, 8752 Østbirk, Denmark",55.967815,9.74289
Øster Brønderslev Fjernvarmeselskab,"Ahornvej 26, 9700 Brønderslev, Denmark",57.247415,9.991144
Øster Hornum Varmeværk,"Tingager 11, 9530 Støvring, Denmark",56.931868,9.762721
Øster Hurup Kraftvarmeværk,"Snedkervej 6, 9560 Hadsund, Denmark",56.803528,10.266041
Øster Toreby Varmeværk,"Agrovej 3, 4800 Nykøbing F, Denmark",54.758,11.825915
Østerild Fjernvarme,"Hedevej 1, 7700 Thisted, Denmark",57.031058,8.856763
Østervraa Varmeværk,"Industrivej 3, 9750 Øster-Vrå, Denmark",57.3417,10.2401
Oue Kraftvarmeværk,"Mælkevejen 12, 9500 Hobro, Denmark",56.694893,9.979135
Outrup Varmeværk,"Centrum 2, 6855 Outrup, Denmark",55.720531,8.344088
Padborg Fjernvarme,"Haraldsdalsvej 11B, 6330 Padborg, Denmark",54.8266,9.3625
Præstø Fjernvarme,"Værkstedsvej 3, 4720 Præstø, Denmark",55.114134,12.042337
Ræhr Fjernvarme,"Molevej 13, 7730 Hanstholm, Denmark",57.114648,8.616342
Ramsing-Lem-Lihme Kraftvarmeværk,"Hasselvej 8, 7860 Spøttrup, Denmark",56.591628,8.79162
Rask Mølle Varmeværk,"Vandværksvej 4, 8763 Rask Mølle, Denmark",55.873145,9.611987
REFA Energi,"Energivej 4, 4800 Nykøbing F, Denmark",54.780093,11.883929
REFA Gedser Fjernvarme,"Energivej 4, 4000 Nykøbing F, Denmark",54.780093,11.883929
REFA Horbelev Fjernvarme,"Energivej 4, 4000 Nykøbing F, Denmark",54.780093,11.883929
Ribe Fjernvarme,"Mosevej 100, 6760 Ribe, Denmark",55.34218,8.79026
Ringkøbing Fjernvarmeværk,"Kongevejen 19, 6950 Ringkøbing, Denmark",56.084481,8.702075
Ringsted Forsyning,"Bragesvej 18, 4100 Ringsted, Denmark",55.429278,11.798537
Rise Fjernvarme,"St. Rise Landevej 2, 5970 Ærøskøbing, Denmark",54.85253,10.408678
