name,address,latitude,longitude,CVRP
Helsinge Fjernvarme,"Skovgårdsvej 4A, 3200 Helsinge, Denmark",56.01251,12.194217,1001830583
Hemmet Varmeværk,"Bandsbølvej 28C, 6893 Hemmet, Denmark",55.853148,8.368704,1004482427
Hillerød Forsyning,"Ægirsvej 4, 3400 Hillerød, Denmark",55.931563,12.272992,1014558647
Hinnerup Fjernvarme,"Fanøvej 15, 8382 Hinnerup, Denmark",56.249434,10.076076,1002895495
Hirtshals Fjernvarme,"Søndergade 14, 9850 Hirtshals, Denmark",57.586774,9.960339,1001864776
Hjallerup Fjernvarme,"Gravensgade 18, 9320 Hjallerup, Denmark",57.167376,10.147864,
Hjordkær Fjernvarmeværk,"Grønhøj 13, 6230 Rødekro, Denmark",55.027536,9.314247,1000379188
Hjørring Varmeforsyning,"Buen 7, 9800 Hjørring, Denmark",57.46107,9.978622,1003156629
Hobro Varmeværk,"Lupinvej 21, 9500 Hobro, Denmark",56.655322,9.800663,1001810468
Hofor,"Ørestads Boulevard 35, 2300 København S, Denmark",55.639857,12.584221,1030117863
Høje Taastrup Fjernvarme,"Malervej 7A, 2630 Taastrup, Denmark",55.638159,12.287129,1019106876
Højslev Nr.Søby Fjernvarmeværk,"Søbyvej 48A, 7840 Højslev, Denmark",56.544007,9.109697,
Holeby Fjernvarme,"Industrivej 1, 4960 Holeby, Denmark",54.708236,11.473289,1002146371
Holme-Lundshøj Fjernvarme,"Holme Byvej 14, 8270 Højbjerg, Denmark",56.114348,10.171577,
Holsted Varmeværk,"Overgade 11, 6670 Holsted, Denmark",55.507241,8.914458,1001747524
Holte Fjernvarme,"Skovlytoften 5, 2840 Holte, Denmark",55.820473,12.489341,1002996530
Høng Varmeværk,"Banemarken 8, 4270 Høng, Denmark",55.505859,11.284498,1001640777
Hørby Varmeværk,"Hjørringvej 101, 9300 Sæby, Denmark",57.321835,10.385478,1000200879
Hornbæk Fjernvarme,"Lille Evaldsvej 5, 3100 Hornbæk, Denmark",56.088697,12.46227,1002186009
Hornslet Fjernvarme,"Amaliegårdvej 7, 8543 Hornslet, Denmark",56.312251,10.306233,1001839701
