forsyid,aar,fv_net_navn,vaerk_postnr,vaerk_postdistrikt,vaerk_navn,vaerk_id,vaerk_kommune,fv_net,selskab_id,cvr,selskab_navn,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
27837417,2023,Arnborg Fjernvarme,7400,Herning,Verdo Varme Herning Arnborg Varmecentral,200,1314,166,200,25809807,Verdo Varme Herning A/S,2.75,0.0,2.95,26.414323,22.5594,22.5594,0.0,0.0,0.0,0.0,0.0,0.6420729999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77225,0.0,0.0,0.0,0.0,0.0,0.0
27837417,2021,Arnborg Fjernvarme,7400,Herning,Verdo Varme Herning Arnborg Varmecentral,200,1314,166,200,25809807,Verdo Varme Herning A/S,2.75,0.0,2.95,27.7697752,24.150636,24.150636,0.0,0.0,0.0,0.0,0.0,0.4648752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3049,0.0,0.0,0.0,0.0,0.0,0.0
27837417,2022,Arnborg Fjernvarme,7400,Herning,Verdo Varme Herning Arnborg Varmecentral,200,1314,166,200,25809807,Verdo Varme Herning A/S,2.75,0.0,2.95,24.73188262,22.548744,22.548744,0.0,0.0,0.0,0.0,0.0,0.35963262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.37225,0.0,0.0,0.0,0.0,0.0,0.0
61877215,2021,Assens (v. Mariager) Fjernvarme,9550,Mariager,Assens Fjernvarme (Mariagerfjord),3,1692,209,4,27837417,ASSENS FJERNVARME A M B A,11.8,0.0,11.8,80.71148,79.2324,79.2324,0.0,0.0,0.0,0.0,0.0,0.14348,0.0,0.0,0.0,0.0,0.0,0.0,80.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61877215,2022,Assens (v. Mariager) Fjernvarme,9550,Mariager,Assens Fjernvarme (Mariagerfjord),3,846,209,4,27837417,ASSENS FJERNVARME A M B A,6.0,0.0,6.0,73.7496,72.2736,72.2736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.7496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61877215,2023,Assens (v. Mariager) Fjernvarme,9550,Mariager,Assens Fjernvarme (Mariagerfjord),3,1692,209,4,27837417,ASSENS FJERNVARME A M B A,11.8,0.0,11.8,73.684327,72.27885599999999,72.27885599999999,0.0,0.0,0.0,0.0,0.0,0.075327,0.0,0.0,0.0,0.0,0.0,0.0,73.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27837417,2023,Assens Fjernvarme,5610,Assens,Assens Fjernvarme Stejlebjergvej,2,4200,71,2362,40517987,Assens Fjernvarme Produktion A/S,78.10000000000001,16.7,53.7,426.6656299,329.7663,320.353848,66.4362,57.066840000000006,0.0,0.0,0.0,5.671005899999999,0.0,0.0,0.0,0.0,0.0,0.0,328.37116,0.0,7.254,0.0,0.0,0.0,0.0,26.48638476,58.88307924000001
27837417,2022,Assens Fjernvarme,5610,Assens,Assens Fjernvarme Stejlebjergvej,2,5040,71,2362,40517987,Assens Fjernvarme Produktion A/S,99.5,18.7,71.0,426.6471973,322.3359756,314.9730756,71.01381599999999,66.78489599999999,0.0,0.0,0.0,6.2731777,0.0,0.0,0.0,0.0,0.0,0.0,374.33093,0.0,18.48307,0.0,0.0,0.0,0.0,9.111435804,18.448583796
27837417,2021,Assens Fjernvarme,5610,Assens,Assens Fjernvarme Stejlebjergvej,2,5460,71,2362,40517987,Assens Fjernvarme Produktion A/S,104.9,20.7,72.3,440.2997615,349.3012320000001,344.130732,70.60564799999999,67.59388799999999,0.0,0.0,0.0,3.7208015,0.0,0.0,0.0,0.0,0.0,0.0,378.47238,0.0,32.49006,0.0,0.0,0.0,0.0,10.568268,15.048252
17750909,2022,Astrup Fjernvarme,9510,Arden,Astrup Kraftvarmeværk,1043,3384,375,878,17750909,ASTRUP KRAFTVARMEVÆRK A.M.B.A.,5.0566,1.0,4.13,15.8796416,15.75612,15.75576,0.28512,0.28512,0.0,0.0,0.0,0.0,0.0,0.0,0.9304416,0.0,0.0,0.0,1.104,0.0,9.464,0.0,0.0,0.0,0.0,1.458,2.9232
17750909,2023,Astrup Fjernvarme,9510,Arden,Astrup Kraftvarmeværk,1043,3384,375,878,17750909,ASTRUP KRAFTVARMEVÆRK A.M.B.A.,5.0566,1.0,4.13,18.1271016,16.17264,16.16256,0.09684,0.09684,0.0,0.0,0.0,0.0,0.0,0.0,0.4588056,0.0,0.0,0.0,7.56,0.0,4.647095999999999,0.0,0.0,0.0,0.0,1.7445132,3.716686799999999
17750909,2021,Astrup Fjernvarme,9510,Arden,Astrup Kraftvarmeværk,1043,3384,375,878,17750909,ASTRUP KRAFTVARMEVÆRK A.M.B.A.,5.0566,1.0,4.13,19.601908,17.729244,17.729244,0.31896,0.31896,0.0,0.0,0.0,0.0,0.0,0.0,1.181664,0.0,0.0,0.0,0.0,0.0,13.93,0.0,0.0,0.0,0.0,1.479528,3.010716
00000019,2021,Augustenborg Fjernvarme,6440,Augustenborg,Augustenborg Fjernvarme Møllegade,45,2160,96,40,59283111,AUGUSTENBORG FJERNVARME A M B A,36.5,3.8,30.3,116.97735012,112.1094,112.1094,0.62676,0.62676,0.0,0.0,0.0,8.533473,0.0,0.0,59.99507712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.44880000000001,0.0
00000019,2022,Augustenborg Fjernvarme,6440,Augustenborg,Augustenborg Fjernvarme Møllegade,45,2700,96,2057,32648541,Sønderborg Varme A/S,36.53,3.8,30.32,94.03278677,84.26877,84.26877,2.21652,2.21652,0.0,0.0,0.0,28.42736957,0.0,0.0,19.370617200000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2348,0.0
00000019,2023,Augustenborg Fjernvarme,6440,Augustenborg,Augustenborg Fjernvarme Møllegade,45,2160,96,2057,32648541,Sønderborg Varme A/S,36.5,3.8,30.3,53.8316594,52.9848,52.9848,1.0692,1.0692,0.0,0.0,0.0,0.412505,0.0,0.0,23.8991544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.52,0.0
39042010,2023,Aulum Fjernvarme,7490,Aulum,Aulum Fjernvarme A.m.b.a. (Kulvej 5),5,3285,159,5,39042010,AULUM FJERNVARME AMBA,44.64,5.1,41.75,132.609816,115.57044,115.57044,15.8877,15.6852,0.0,0.0,0.0,0.0,0.0,0.0,36.315576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9092,0.0,37.608084000000005,32.77695600000001
39042010,2021,Aulum Fjernvarme,7490,Aulum,Aulum Fjernvarme A.m.b.a. (Kulvej 5),5,3285,159,5,39042010,AULUM FJERNVARME AMBA,44.64,5.1,41.75,147.6879228,124.51068,124.51068,20.604456,20.4624,0.0,0.0,0.0,0.0,0.0,0.0,52.01273880000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5296,0.0,40.150872,31.99471200000001
