name,forsyid,CVRP,address,latitude,longitude
Malling Varmeværk,36450819,1001745715,"Dampmøllevej 1A, 8340 Malling, Denmark",56.039195,10.190868
Maribo Varmeværk,11135617,1000187343,"C. E. Christiansens Vej 40, 4930 Maribo, Denmark",54.779614,11.510476
Marstal Fjernvarme,31220319,1001672864,"Jagtvej 2, 5960 Marstal, Denmark",54.854594,10.514693
Middelfart Fjernvarme,28621027,1011470390,"Skærgårdsvej 2, 5500 Middelfart, Denmark",55.498494,9.777639
Midtlangeland Fjernvarme,40744517,1001800657,"Spodsbjergvej 147 D, 5900 Rudkøbing, Denmark",54.93554,10.736126
Mørkøv Varmeværk,23234114,1001557974,"Holbækvej 236, 4440 Mørkøv, Denmark",55.650279,11.502598
Mosede Fjernvarmeværk,27253598,1009984468,"Lundemosen 7, 2670 Greve, Denmark",55.579596,12.270508
Mou Kraftvarme,14324100,4444433333,"Ny Høstemarkvej 28 C, 9280 Storvorde",56.962604,10.218072
Næstved Fjernvarme,69995713,1003173770,"Maglemølle 62, 4700 Næstved, Denmark",55.221033,11.747411
Nibe Varmeværk,68726018,1002279450,"Hobrovej 46, 9240 Nibe, Denmark",56.976617,9.654545
Nimtofte Og Omegns Fjernvarmeforsyning,30406443,1013275528,"Frederikslundvej 1, 8550 Ryomgård, Denmark",56.390979,10.508577
Nordby Fjernvarme,16934690,1001187876,"Bavnebjerg 44, 6720 Fanø, Denmark",55.442686,8.392428
Nørre Alslev Fjernvarmeværk,60094411,1002107538,"Peter L. Jensensvej 4, 4840 Nørre Alslev, Denmark",54.8978,11.8841
Nørre Nebel Fjernvarme,11324312,1000217829,"Præstbølvej 9, 6830 Nørre-Nebel, Denmark",55.777908,8.311371
Nørre Snede Varmeværk,19998347,1001626454,"Horsensvej 19, 8766 Nørre-Snede, Denmark",55.963785,9.396752
Nysted Varmeværk,27695949,1010517636,"Egevænget 1, 4880 Nysted, Denmark",54.671036,11.732493
Odder Forsyningsselskab,29124655,1003157078,"Skovdalsvej 8, 8300 Odder, Denmark",55.98709,10.149084
Ørsted Fjernvarmeværk,26364817,1001596824,"Rougsøvej 61G, 8950 Ørsted, Denmark",56.497736,10.33031
