name;address;latitude;longitude;CVRP
Morsø Forsyning;Strandparken 19, 7900 Nykøbing M, Denmark;56810014;8865308;
Mosede Fjernvarmeværk;Lundemosen 7, 2670 Greve, Denmark;55579596;12270508;
Mou Kraftvarme;Ny Høstemarkvej 28 C, 9280 Storvorde;56962604;10218072;
Næstved Fjernvarme;Maglemølle 62, 4700 Næstved, Denmark;55221033;11747411;
Nibe Varmeværk;Hobrovej 46, 9240 Nibe, Denmark;56976617;9654545;
Nimtofte Og Omegns Fjernvarmeforsyning;Frederikslundvej 1, 8550 Ryomgård, Denmark;56390979;10508577;
Nordby Fjernvarme;Bavnebjerg 44, 6720 Fanø, Denmark;55442686;8392428;
Norfors;Savsvinget 2, 2970 Hørsholm, Denmark;55901089;12492612;
Nørre Alslev Fjernvarmeværk;Peter L. Jensensvej 4, 4840 Nørre Alslev, Denmark;548978;118841;
Nørre Nebel Fjernvarme;Præstbølvej 9, 6830 Nørre-Nebel, Denmark;55777908;8311371;
Nørre Snede Varmeværk;Horsensvej 19, 8766 Nørre-Snede, Denmark;55963785;9396752;
Nyborg Forsyning;Gasværksvej 2, 5800 Nyborg, Denmark;55311297;10784;
Nykøbing Mors Fjernvarmeværk;Kjærgaardsvej 20, 7900 Nykøbing M, Denmark;5680178;8863183;
Nysted Varmeværk;Egevænget 1, 4880 Nysted, Denmark;54671036;11732493;
Odder Forsyningsselskab;Skovdalsvej 8, 8300 Odder, Denmark;5598709;10149084;
Odsherred Forsyning;Hovedgaden 39, 4571 Grevinge, Denmark;55799866;11547065;
Oksbøl Varmeværk;Industrivej 10, 6840 Oksbøl, Denmark;55622195;8289493;
Ølgod Tekniske Værker;Industrivej 9, 6870 Ølgod, Denmark;55811388;8624477;
Ollerup-Vester Skerninge-Ulbølle Fjernvarme;Svendborgvej 85, 5762 Skerninge, Denmark;55071871;10488985;
Ørnhøj-Grønbjerg Kraftvarme;Kjærsvej 13, 6973 Ørnhøj, Denmark;563440901;83421649;
Ørsted Fjernvarmeværk;Rougsøvej 61G, 8950 Ørsted, Denmark;56497736;1033031;
Ørum Varmeværk;Bøgevej 5-7, 8830 Tjele, Denmark;564828175;96273436;
Østbirk Varmeværk;Industrivej 9, 8752 Østbirk, Denmark;55967815;974289;
Øster Brønderslev Fjernvarmeselskab;Ahornvej 26, 9700 Brønderslev, Denmark;57247415;9991144;
Øster Hornum Varmeværk;Tingager 11, 9530 Støvring, Denmark;56931868;9762721;
Øster Hurup Kraftvarmeværk;Snedkervej 6, 9560 Hadsund, Denmark;56803528;10266041;
Øster Toreby Varmeværk;Agrovej 3, 4800 Nykøbing F, Denmark;54758;11825915;
Østerild Fjernvarme;Hedevej 1, 7700 Thisted, Denmark;57031058;8856763;
Østervraa Varmeværk;Industrivej 3, 9750 Øster-Vrå, Denmark;573417;102401;
Oue Kraftvarmeværk;Mælkevejen 12, 9500 Hobro, Denmark;56694893;9979135;
Outrup Varmeværk;Centrum 2, 6855 Outrup, Denmark;55720531;8344088;
Padborg Fjernvarme;Haraldsdalsvej 11B, 6330 Padborg, Denmark;548266;93625;
Præstø Fjernvarme;Værkstedsvej 3, 4720 Præstø, Denmark;55114134;12042337;
Ræhr Fjernvarme;Molevej 13, 7730 Hanstholm, Denmark;57114648;8616342;
Ramsing-Lem-Lihme Kraftvarmeværk;Hasselvej 8, 7860 Spøttrup, Denmark;56591628;879162;
Rask Mølle Varmeværk;Vandværksvej 4, 8763 Rask Mølle, Denmark;55873145;9611987;
Refa Horbelev Fjernvarme;Søndre Vej 1, 4871 Horbelev;54818588;12053318;
Ribe Fjernvarme;Mosevej 100, 6760 Ribe, Denmark;5534218;879026;
Ringkøbing Fjernvarmeværk;Isagervej 41, 6950 Ringkøbing;56090141;8277016;
Ringsted Forsyning;Bragesvej 18, 4100 Ringsted, Denmark;55429278;11798537;1017780383
Rise Fjernvarme;St. Rise Landevej 2, 5970 Ærøskøbing, Denmark;5485253;10408678;
Rødby Varmeværk;Grønvej 7B, 4970 Rødby, Denmark;54694546;11397323;
Rødbyhavn Fjernvarme;Jøncksvej 1, 4970 Rødby, Denmark;54660757;11360223;
Rødding Fjernvarme;Vestermarksvej 2B, 6630 Rødding, Denmark;55376499;9058376;
Rødkærsbro Fjernvarmeværk;Brandstrupvej 4A, 8840 Rødkærsbro, Denmark;56352753;9503951;
Rødovre Kommunale Fjernvarmeforsyning;Tæbyvej 77, 2610 Rødovre, Denmark;55685647;12453278;
Rønde Fjernvarme;Skrejrupvej 9 C, 8410 Rønde, Denmark;56307039;10461949;
Rønne Varme;Sandemandsvej 1A, 3700 Rønne, Denmark;55094886;14729166;
Roslev Fjernvarmeselskab;Møllebuen 1, 7870 Roslev, Denmark;56708009;8981319;
Rostrup Kraftvarmeværk;Kildevej 4, 9510 Arden, Denmark;56730582;9930317;
Rundhøj Fjernvarme;Holmevej 202, 8270 Højbjerg, Denmark;56118092;10176919;
Ry Varmeværk;Bakkelyvej  3, 8680 Ry, Denmark;5608341;978656;
Rye Kraftvarmeværk;Hjarbækvej 7, 8680 Ry, Denmark;56530125;932051;
Ryomgård Fjernvarme;Frederikslundvej 1, 8550 Ryomgård, Denmark;56390979;10508577;
Sæby Varmeværk;Energivej 1, 9300 Sæby, Denmark;57318891;10500876;
Sakskøbing Fjernvarmeselskab;Lillemark 25, 4990 Sakskøbing, Denmark;54802911;11632048;
Saltum Fjernvarmeværk;Ths. Jensensvej 5, 9493 Saltum;57273618;969952;
Sandved Tornemark Kraftvarmeværk;Brandholtvej 6A, 4262 Sandved, Denmark;55255489;11522774;
Sdr. Felding Varmeværk;Bjergevej 33, 7280 Sønder-Felding, Denmark;55931538;8781223;
Sdr. Herreds Kraftvarmeværker;Næssundvej 327, 7960 Karby, Denmark;56743378;8602843;
Sdr. Omme Varmeværk;Nedergårdsvej 30, 7260 Sdr. Omme, Denmark;55845851;8886338;
Sig Varmeværk;Sct. Gertrudsvej 6B, 6800 Varde, Denmark;55664172;8573837;
Silkeborg Forsyning;Tietgensvej 3, 8600 Silkeborg, Denmark;56199565;9577644;
Sindal Varmeforsyning;Baggesvognsvej 32, 9870 Sindal, Denmark;57479906;10195848;
Sk Forsyning;Nordvej 6, 4200 Slagelse;5541403;11342991;
Skærbæk Fjernvarme;Læssevej 7, 6780 Skærbæk, Denmark;55158958;8772457;
Skagen Varmeværk;Ellehammervej 21, 9990 Skagen, Denmark;57735873;10575532;
Skals Kraftvarmeværk;Solbakken 1, 8832 Skals, Denmark;56557605;9401316;
Skanderborg-Hørning Fjernvarme;Danmarksvej 15, 8660 Skanderborg, Denmark;5605042;9943567;
Skårup Fjernvarme;Traverskiftet 1, 5881 Skårup Fyn, Denmark;55091495;10692962;
Skive Fjernvarme;Marius Jensens Vej 3, 7800 Skive, Denmark;56561919;9031235;
Skjern Fjernvarme;Kongevej 41, 6900 Skjern, Denmark;55944544;8494215;
Skørping Varmeværk;Skørping Nord 11, 9520 Skørping, Denmark;56858671;9890022;
Skovlund Varmeværk;Nørremarken 20, 6823 Ansager, Denmark;55741312;870286;
Skovsgård Varmeværk;Poststræde 28, 9460 Brovst, Denmark;57087998;9492925;
Skuldelev Energiselskab;Egevej 27, 4050 Skibby, Denmark;55775786;12017855;
Slagslunde Fjernvarme;Blomstervej 17, 3660 Stenløse, Denmark;55798556;12217357;
Smørum Kraftvarme;Skebjergvej 25, 2765 Smørum, Denmark;55729495;12306893;
Snedsted Fjernvarme;Idrætsvej 1, 7752 Snedsted, Denmark;5689318;8525363;
Snertinge-Særslev-Føllenslev Energiselskab;Kirkemosevej 17, 4591 Føllenslev, Denmark;55723388;1137496;
Solrød Fjernvarme;Lerbækvej 17, 2680 Solrød Strand, Denmark;55540331;12208878;
Sønderborg Forsyning;Ellegårdvej 8, 6400 Sønderborg, Denmark;54927034;9797459;
Sønderholm Kraftvarmeværk;Vestervej 50, 9240 Nibe, Denmark;57005276;9729421;
Spjald Fjernvarme-Og Vandværk;Rørvej 1, 6971 Spjald, Denmark;5612823;8513123;
Stege Fjernvarme;Elmevej 1 D, 4780 Stege;54998162;12284694;
Stenstrup Fjernvarme;Hostrupvej 28, 5771 Stenstrup, Denmark;55130667;10502042;
Stoholm Fjernvarmeværk;Industrivej 16, 7850 Stoholm Jylland, Denmark;5647916;9154259;
Støvring Kraftvarmeværk;Hjedsbækvej 2, 9530 Støvring, Denmark;56887721;9818962;
Strandby Varmeværk;Ravmarken 8, 9970 Strandby, Denmark;574874;10488259;
Struer Energi;Jyllandsgade 1, 7600 Struer, Denmark;56490679;8601625;
Sunds Forsyning;Teglgaardsvej 7A, 7451 Sunds, Denmark;562042;90127;
Svebølle-Viskinge Fjernvarmeselskab;Frederiksberg 1D, 4470 Svebølle, Denmark;5565318;11290961;
Svendborg Fjernvarme;Bagergade 40A, 5700 Svendborg, Denmark;55061775;10606753;
Svogerslev Fjernvarmecentral;Stamvejen 11, 4000 Roskilde, Denmark;5563194;12019077;
