Unique Names in data,Names of plants
Skals Fjernvarme,Skals Kraftvarmeværk
Skave-Borbjerg-Hvam Fjernvarme,Vestforsyning Varme
Skive Fjernvarme,Skive Fjernvarme
Skjern Fjernvarme,Skjern Fjernvarme
Skovlund Fjernvarme,Skovlund Varmeværk
Skovsgård Fjernvarme,Skovsgård Varmeværk
Skuldelev Fjernvarme,Skuldelev Energiselskab
Skårup Fjernvarme,Skårup Fjernvarme
Skærbæk Fjernvarme,Skærbæk Fjernvarme
Skørping Fjernvarme,Skørping Varmeværk
Slagelse Fjernvarme,Sk Forsyning
Slagslunde,Slagslunde Fjernvarme
Slangerup Fjernvarme,
Smørumnedre Fjernvarme,Smørum Kraftvarme
Snedsted Fjernvarme,Snedsted Fjernvarme
"Snertinge, Særslev, Føllenslev",Snertinge-Særslev-Føllenslev Energiselskab
Solbjerg Fjernvarme,Kredsløb
Sorø Fjernvarme,Sorø Fjernvarme
Spjald Fjernvarme,Spjald Fjernvarme-Og Vandværk
St-Rise/Dunkær,Rise Fjernvarme
Stege Fjernvarme,Stege Fjernvarme
Stenderup-Krogager Fjernvarme,Grindsted El- Og Varmeværk
Stenstrup Fjernvarme,Stenstrup Fjernvarme
Stenvad,Stenstrup Fjernvarme
Stoholm Fjernvarme,Stoholm Fjernvarmeværk
Store Merløse Fjernvarme,Fors Varme Merløse
Storkøbenhavns Fjernvarme,
Strandby Fjernvarme,Strandby Varmeværk
Stubbekøbing Fjernvarme,Refa Stubbekøbing Fjernvarme
Studsgård Fjernvarme,Verdo Varme Herning
Støvring Fjernvarme,Støvring Kraftvarmeværk
Sundby-Øster Toreby Fjernvarme,Øster Toreby Varmeværk
Svebølle-Viskinge Fjernvarme,Svebølle-Viskinge Fjernvarmeselskab
Svendborg Fjernvarme,Svendborg Fjernvarme
Sydlangeland Fjernvarme,Sydlangeland Fjernvarme
Sæby Fjernvarme,Sæby Varmeværk
Søllested Fjernvarme,Lolland Varme
Søndbjerg,Søndbjerg Fjernvarme
Sønder Felding Fjernvarme,Sdr. Felding Varmeværk
Sønder Omme Fjernvarme,Sdr. Omme Varmeværk
Sønderborg Fjernvarme,Sønderborg Forsyning
Sønderholm Fjernvarme,Sønderholm Kraftvarmeværk
TVIS,Tvis Trekantområdets Varmetrans
Tarm Fjernvarme (fra 2013 incl. Ådum),Tarm Varmeværk
Terndrup Fjernvarme,Terndrup Fjernvarme
Thisted Fjernvarme,Thisted Varmeforsyning
Thorsager Fjernvarme,Thorsager Fjernvarmeværk
Thorsminde Fjernvarme,Thorshøj Kraftvarmeværk
Thorsø Fjernvarme,Thorsø Fjernvarmeværk
