name,forsyid
Vesløs Fjernvarme,17638181
Tvis Trekantområdets Varmetrans,13348545
Nørre Aaby Kraftvarmeværk,16838314
Sorø Fjernvarme,00000017
Vestegnens Kraftvarmeselskab,69330428
Ejby Fjernvarmecentral,38226215
Kredsløb,00000004
Halsnæs Forsyning,32473660
Ulstrup Varmeværk,13109710
Søndbjerg Fjernvarme,20237848
Ålestrup Varme,44279118
Eniig City Solutions,00000007
Ravnkilde Kraftvarmeværk,17828843
Nørre-Snede Varmeværk,28193610
Nrgi Lokalvarme,21430277
Grundejerf Rønneholtparken,49001312
Thyregod Fællesvarme,43538365
Gråsten Fjernvarme,00000019
Augustenborg Fjernvarme,00000019
Hornsyld Klimavarme,00000013
Gedser Fjernvarme,32394817
Frederikshavn Kommune,29189498
Rejsby Kraftvarmeværk,19500438
Skibby Fjernvarme,44473860
FORS Varme Holbæk,33032838
Forsyning Helsingør Service,25165160
Meløse - St. Lyngby Energiselskab,20276991
Aale Fjernvarme,43587854
Lynge-Uggeløse Fjernvarme,44166879
Ry Varmeværk,22950312
Bjæverskov Fjernvarme,43384414
Fors Varme Roskilde,00000008
Nørre Broby Varmeværk,29214824
Vester Hjermitslev Varmeværk,13096414
