name,address
Øster Hurup Kraftvarmeværk,"Snedkervej 6, 9560 Hadsund, Denmark"
Øster Toreby Varmeværk,"Agrovej 3, 4800 Nykøbing F, Denmark"
Østerild Fjernvarme,"Hedevej 1, 7700 Thisted, Denmark"
Østervraa Varmeværk,"Industrivej 3, 9750 Øster-Vrå, Denmark"
Oue Kraftvarmeværk,"Mælkevejen 12, 9500 Hobro, Denmark"
Outrup Varmeværk,"Centrum 2, 6855 Outrup, Denmark"
Padborg Fjernvarme,"Haraldsdalsvej 11B, 6330 Padborg, Denmark"
Præstø Fjernvarme,"Værkstedsvej 3, 4720 Præstø, Denmark"
Ræhr Fjernvarme,"Molevej 13, 7730 Hanstholm, Denmark"
Ramsing-Lem-Lihme Kraftvarmeværk,"Hasselvej 8, 7860 Spøttrup, Denmark"
Rask Mølle Varmeværk,"Vandværksvej 4, 8763 Rask Mølle, Denmark"
REFA Energi,"Energivej 4, 4800 Nykøbing F, Denmark"
REFA Gedser Fjernvarme,"Energivej 4, 4000 Nykøbing F, Denmark"
REFA Horbelev Fjernvarme,"Energivej 4, 4000 Nykøbing F, Denmark"
Ribe Fjernvarme,"Mosevej 100, 6760 Ribe, Denmark"
Ringkøbing Fjernvarmeværk,"Kongevejen 19, 6950 Ringkøbing, Denmark"
Ringsted Forsyning,"Bragesvej 18, 4100 Ringsted, Denmark"
Rise Fjernvarme,"St. Rise Landevej 2, 5970 Ærøskøbing, Denmark"
Rødby Varmeværk,"Grønvej 7B, 4970 Rødby, Denmark"
Rødbyhavn Fjernvarme,"Jøncksvej 1, 4970 Rødby, Denmark"
Rødding Fjernvarme,"Vestermarksvej 2B, 6630 Rødding, Denmark"
Rødkærsbro Fjernvarmeværk,"Brandstrupvej 4A, 8840 Rødkærsbro, Denmark"
Rødovre Kommunale Fjernvarmeforsyning,"Tæbyvej 77, 2610 Rødovre, Denmark"
Rønde Fjernvarme,"Skrejrupvej 9 C, 8410 Rønde, Denmark"
Rønne Varme,"Sandemandsvej 1A, 3700 Rønne, Denmark"
Roslev Fjernvarmeselskab,"Møllebuen 1, 7870 Roslev, Denmark"
Rostrup Kraftvarmeværk,"Kildevej 4, 9510 Arden, Denmark"
Rundhøj Fjernvarme,"Holmevej 202, 8270 Højbjerg, Denmark"
Ry Varmeværk,"Bakkelyvej  3, 8680 Ry, Denmark"
Rye Kraftvarmeværk,"Hjarbækvej 7, 8680 Ry, Denmark"
Ryomgård Fjernvarme,"Frederikslundvej 1, 8550 Ryomgård, Denmark"
Sæby Varmeværk,"Energivej 1, 9300 Sæby, Denmark"
Sakskøbing Fjernvarmeselskab,"Lillemark 25, 4990 Sakskøbing, Denmark"
Saltum Fjernvarmeværk,"Th Jensensvej 5, 9493 Saltum, Denmark"
Sandved Tornemark Kraftvarmeværk,"Brandholtvej 6A, 4262 Sandved, Denmark"
Sdr. Felding Varmeværk,"Bjergevej 33, 7280 Sønder-Felding, Denmark"
Sdr. Herreds Kraftvarmeværker,"Næssundvej 327, 7960 Karby, Denmark"
Sdr. Omme Varmeværk,"Nedergårdsvej 30, 7260 Sdr. Omme, Denmark"
Sig Varmeværk,"Sct. Gertrudsvej 6B, 6800 Varde, Denmark"
Silkeborg Forsyning,"Tietgensvej 3, 8600 Silkeborg, Denmark"
Sindal Varmeforsyning,"Baggesvognsvej 32, 9870 Sindal, Denmark"
SK Forsyning,"Lilleøvej 3, 4220 Korsør, Denmark"
Skærbæk Fjernvarme,"Læssevej 7, 6780 Skærbæk, Denmark"
Skagen Varmeværk,"Ellehammervej 21, 9990 Skagen, Denmark"
Skals Kraftvarmeværk,"Solbakken 1, 8832 Skals, Denmark"
Skanderborg-Hørning Fjernvarme,"Danmarksvej 15, 8660 Skanderborg, Denmark"
Skårup Fjernvarme,"Traverskiftet 1, 5881 Skårup Fyn, Denmark"
Skive Fjernvarme,"Marius Jensens Vej 3, 7800 Skive, Denmark"
Skjern Fjernvarme,"Kongevej 41, 6900 Skjern, Denmark"
Skørping Varmeværk,"Skørping Nord 11, 9520 Skørping, Denmark"
Skovlund Varmeværk,"Nørremarken 20, 6823 Ansager, Denmark"
Skovsgård Varmeværk,"Poststræde 28, 9460 Brovst, Denmark"
Skuldelev Energiselskab,"Egevej 27, 4050 Skibby, Denmark"
Slagslunde Fjernvarme,"Blomstervej 17, 3660 Stenløse, Denmark"
Smørum Kraftvarme,"Skebjergvej 25, 2765 Smørum, Denmark"
Snedsted Fjernvarme,"Idrætsvej 1, 7752 Snedsted, Denmark"
Snertinge-Særslev-Føllenslev Energiselskab,"Kirkemosevej 17, 4591 Føllenslev, Denmark"
Solrød Fjernvarme,"Lerbækvej 17, 2680 Solrød Strand, Denmark"
Sønderborg Forsyning,"Ellegårdvej 8, 6400 Sønderborg, Denmark"
Sønderborg Varme,"Nørrekobbel 54, 6400 Sønderborg, Denmark"
Sønderholm Kraftvarmeværk,"Vestervej 50, 9240 Nibe, Denmark"
Spjald Fjernvarme-og Vandværk,"Rørvej 1, 6971 Spjald, Denmark"
Stege Fjernvarme,"Elmevej 1 D, 4780 Stege"
Stenstrup Fjernvarme,"Hostrupvej 28, 5771 Stenstrup, Denmark"
Stoholm Fjernvarmeværk,"Industrivej 16, 7850 Stoholm Jylland, Denmark"
Støvring Kraftvarmeværk,"Hjedsbækvej 2, 9530 Støvring, Denmark"
Strandby Varmeværk,"Ravmarken 8, 9970 Strandby, Denmark"
Struer Energi,"Jyllandsgade 1, 7600 Struer, Denmark"
Sunds Forsyning,"Teglgaardsvej 7A, 7451 Sunds, Denmark"
Svebølle-Viskinge Fjernvarmeselskab,"Frederiksberg 1D, 4470 Svebølle, Denmark"
Svendborg Fjernvarme,"Bagergade 40A, 5700 Svendborg, Denmark"
Svogerslev Fjernvarmecentral,"Stamvejen 11, 4000 Roskilde, Denmark"
Sydfalster Varmeværk,"Håndværkervænget 16, 4873 Væggerløse, Denmark"
