fv_net_navn,aar,vaerk_navn,vaerk_kommune,vrktypenavn,kvoteaktivitet,DB07,NR117,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ,match_type,idriftdato
Brøns Fjernvarme,2021,Brøns Kraftvarme A.m.b.a.,550,Decentralt værk,0.0,702200.0,700020.0,3.13,0.93,2.2,16.8782052,13.705200000000001,13.705200000000001,1.0512,1.0512,1.3297923408,0.6702076592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9473092,0.0,0.0,0.0,0.0,13.930896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1997-01-01
Brørup Fjernvarme,2021,Brørup Fjernvarme,575,Decentralt værk,5.0,1765000.0,1750150.0,32.74,3.84,28.4,116.1994476,98.16768,98.16768,12.69468,12.69468,4.2617148312,0.7382851688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3935692,0.0,0.0,0.0,70.959,0.0,0.0,0.0,0.0,0.0,0.0,9.846878400000001,0.0,net,1984-01-01
Byrum Fjernvarme,2021,Læsø Varme A/S,825,Fjernvarmeværk,0.0,706000.0,700060.0,4.0,0.0,4.0,25.307075,26.17598,26.17598,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.807075,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,2006-07-28
Bækmarksbro Fjernvarme,2021,Bækmarksbro Varmeværk,665,Fjernvarmeværk,0.0,706000.0,700060.0,2.6,0.0,2.2,25.231099999999998,22.1616,22.1616,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1995-01-01
Bælum Fjernvarme,2021,Bælum Varmeværk,840,Decentralt værk,0.0,1059000.0,1050090.0,6.82,1.48,5.300000000000001,35.0536032,26.5176,26.5176,7.498799999999999,7.498799999999999,1.5558312691,1.4441687309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0536032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1994-01-01
Bøvlingbjerg Fjernvarme,2021,Bøvling Varmeværk,665,Fjernvarmeværk,0.0,1059000.0,1050090.0,6.4,0.0,6.4,32.365556999999995,32.29874,32.29874,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2188069999999999,0.0,0.0,0.0,0.0,0.0,0.0,31.7383,0.0,0.40845,0.0,0.0,0.0,0.0,0.0,0.0,net,1991-09-01
Christiansfeld-Tyrstrup Fjernv,2021,Christiansfeld Fjernvarmeselskab Amba,621,Fjernvarmeværk,0.0,2118000.0,2100180.0,33.269,3.06,34.65,112.323408084,93.089232,92.435832,19.1030616,19.1030616,5.2634427938999995,0.7365572061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.37762448400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.261496,0.0,19.4585076,3.22578,net,1965-01-01
DTU-Holte-Nærum Fjernvarme (inkl. Øverød Teknikerbyen Skodsborg),2021,Nærumcentralen,230,Fjernvarmeværk,5.0,3173200.0,3150230.0,186.577,38.5,136.27700000000002,572.8815324,499.49089999999995,498.8789,44.6436,43.4034,8.1986103949,0.8013896051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.5003324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.3812,0.0,net,1966-06-01
Dronninglund Fjernvarme,2021,Dronninglund Fjernvarme Tidselbak Alle 18,810,Decentralt værk,0.0,1412000.0,1400120.0,25.491,3.4,24.0,149.5870632,138.51324,138.51324,3.9672,3.9672,3.2936510873,0.7063489127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7870632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44,0.0,27.36,0.0,net,1974-01-01
Dueholm Fjernvarme,2021,Dueholm Kommunale Varmecentral,773,Fjernvarmeværk,0.0,1066000.0,1060060.0,3.12,0.0,3.12,20.920530799999998,20.543400000000002,20.543400000000002,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4425308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.478,0.0,0.0,0.0,0.0,net,1970-01-01
